,noun_chunk,product,freq,overall_freq,Rank
53,Amazon,B00004S9CY.raw.json,4,164,19.0
2903,Amazon,B00005OTXM.raw.json,31,164,19.0
5345,Amazon,B00018RRRK.raw.json,48,164,19.0
38,ground coffee,B00004S9CY.raw.json,6,164,19.0
2902,Krups,B00005OTXM.raw.json,36,150,20.0
8967,Krups,B000BRLXUI.raw.json,37,150,20.0
902,Krups,B00004SPEU.raw.json,31,150,20.0
20,Krups,B00004S9CY.raw.json,9,150,20.0
5348,Krups,B00018RRRK.raw.json,37,150,20.0
13,motor,B00004S9CY.raw.json,12,137,21.0
905,motor,B00004SPEU.raw.json,24,137,21.0
2907,motor,B00005OTXM.raw.json,27,137,21.0
8961,motor,B000BRLXUI.raw.json,41,137,21.0
5353,motor,B00018RRRK.raw.json,33,137,21.0
5354,button,B00018RRRK.raw.json,32,135,22.0
911,button,B00004SPEU.raw.json,18,135,22.0
8954,button,B000BRLXUI.raw.json,55,135,22.0
2910,button,B00005OTXM.raw.json,24,135,22.0
35,button,B00004S9CY.raw.json,6,135,22.0
25,problem,B00004S9CY.raw.json,8,134,23.0
909,problem,B00004SPEU.raw.json,20,134,23.0
5346,problem,B00018RRRK.raw.json,38,134,23.0
8957,problem,B000BRLXUI.raw.json,46,134,23.0
2912,problem,B00005OTXM.raw.json,22,134,23.0
8956,french press,B000BRLXUI.raw.json,47,130,24.0
915,french press,B00004SPEU.raw.json,17,130,24.0
23,french press,B00004S9CY.raw.json,8,130,24.0
2914,french press,B00005OTXM.raw.json,21,130,24.0
5347,french press,B00018RRRK.raw.json,37,130,24.0
8960,way,B000BRLXUI.raw.json,42,121,25.0
912,way,B00004SPEU.raw.json,17,121,25.0
5351,way,B00018RRRK.raw.json,35,121,25.0
28,way,B00004S9CY.raw.json,7,121,25.0
2916,way,B00005OTXM.raw.json,20,121,25.0
8966,water,B000BRLXUI.raw.json,37,120,26.0
51,water,B00004S9CY.raw.json,4,120,26.0
906,water,B00004SPEU.raw.json,23,120,26.0
5357,water,B00018RRRK.raw.json,29,120,26.0
2906,water,B00005OTXM.raw.json,27,120,26.0
37,review,B00004S9CY.raw.json,6,117,27.0
5349,review,B00018RRRK.raw.json,36,117,27.0
8959,review,B000BRLXUI.raw.json,43,117,27.0
918,review,B00004SPEU.raw.json,14,117,27.0
2921,review,B00005OTXM.raw.json,18,117,27.0
5352,counter,B00018RRRK.raw.json,35,115,28.0
916,counter,B00004SPEU.raw.json,15,115,28.0
36,counter,B00004S9CY.raw.json,6,115,28.0
8965,counter,B000BRLXUI.raw.json,38,115,28.0
2911,price,B00005OTXM.raw.json,22,115,28.0
52,price,B00004S9CY.raw.json,4,115,28.0
5355,price,B00018RRRK.raw.json,31,115,28.0
2915,counter,B00005OTXM.raw.json,21,115,28.0
917,price,B00004SPEU.raw.json,14,115,28.0
8958,price,B000BRLXUI.raw.json,44,115,28.0
5370,cord,B00018RRRK.raw.json,23,113,29.0
8964,cord,B000BRLXUI.raw.json,40,113,29.0
914,cord,B00004SPEU.raw.json,17,113,29.0
2913,cord,B00005OTXM.raw.json,21,113,29.0
12,cord,B00004S9CY.raw.json,12,113,29.0
8963,burr grinder,B000BRLXUI.raw.json,40,106,30.0
932,burr grinder,B00004SPEU.raw.json,10,106,30.0
2925,burr grinder,B00005OTXM.raw.json,15,106,30.0
31,burr grinder,B00004S9CY.raw.json,6,106,30.0
5350,burr grinder,B00018RRRK.raw.json,35,106,30.0
